district,shop_rate,green_rate,share_rate,trans_rate,recycle_rate,budget_rate,total
서울특별시 노원구,0.37927790223103713,0.8002795822176901,0.16772527250883618,0.5124273638644745,0.8013731343283581,0.26239130434782615,0.4872457599163704
서울특별시 도봉구,0.1478937005165315,0.8433669754114768,0.23827875526223766,0.4633622535681138,1.3545791044776117,0.092608695652174,0.5233482474813576
서울특별시 동대문구,0.7151418602868755,0.11687440704371653,0.9059262453196306,0.5766593979704785,1.5027900497512436,0.47847826086956535,0.7159783702069183
서울특별시 동작구,0.48571471004220085,0.4005758374722287,0.4388246078716696,0.6230965400371047,0.32571940298507446,0.5556521739130434,0.4715972120535536
서울특별시 마포구,0.9459466139248457,0.24110981581816307,0.2639371978278907,0.5247744879885418,0.7065870646766168,0.5865217391304349,0.5448128198944155
서울특별시 서대문구,0.8279095011528637,0.21055959055751405,0.2540544235449717,0.5634413308758366,1.3028776119402983,0.5402173913043479,0.616509974895972
서울특별시 서초구,0.33740654566369976,0.10507571821272309,0.1030791714393899,0.463766221150185,1.2649631840796018,0.663695652173913,0.4896644154532521
서울특별시 성동구,0.5499486407149872,0.05544857703296546,0.19750919274695133,1.152795884152494,1.4528119402985074,0.30869565217391304,0.6195349811866363
서울특별시 성북구,0.5299192799221684,0.14135968619806705,0.31409518141549553,0.49787803745601755,1.5303641791044775,0.3395652173913045,0.5588635969145884
서울특별시 송파구,0.5147598551225224,0.3079093137978981,0.2897801501068811,0.7139946958920416,1.5407044776119403,0.44760869565217404,0.6357928646972429
서울특별시 양천구,0.20140593742678256,0.21317778704555018,0.32297762297203286,0.7697185098971163,0.7944796019900496,0.2160869565217392,0.4196410693088785
서울특별시 영등포구,0.5124730602382546,0.019061573932943273,0.19623335292030217,0.6783256209108685,1.3511323383084577,0.5556521739130434,0.5521463533706449
서울특별시 용산구,0.8291734081255845,0.08352152744786477,0.17744271315337545,0.733586728764055,1.37353631840796,0.7717391304347825,0.6614999710556037
서울특별시 은평구,0.27372066663412314,0.2669248137821315,0.34044272948916793,0.3997578627475931,1.3011542288557214,0.5710869565217392,0.5255145430050794
서울특별시 종로구,0.89708770973078,0.6973289038137702,0.27060689966420687,0.7061178895487413,0.7875860696517409,0.6945652173913043,0.6755487816334239
서울특별시 중구,1.467,0.21456256186133862,0.3230090442624956,0.860053035062341,1.1856875621890546,0.8180434782608696,0.8113926136060164
서울특별시 중랑구,0.285304935738704,0.41182778261743186,0.3354450727540442,0.7731248932023477,0.8375641791044777,0.30869565217391304,0.4919937525984864
제주특별자치도 서귀포시,0.019263365344495242,0.12765910136531153,0.015179320274646798,0.27331045354599287,1.4269611940298506,1.42,0.5470622390933828
제주특별자치도 제주시,0.07036088588228032,0.12306164407025565,0.03296830050307492,0.19172652663108813,1.2787502487562186,1.42,0.5194779343071528
